vehicle_id,model_id,location_id,engine_id,title,year,used_or_new,vehicle_type,doors,seats,colour_ext_int,kilometres,price
P1272U4293G,G9173W7725F,R6979S6970W,H8806K5897O,2022 Hyundai Venue,2022,USED,Front, 4 Doors, 5 Seats,Blue / Black Cloth,13782,26992
E3325D5138N,A6453M2193E,Q3155J5536W,S3110J7023X,2018 Toyota Landcruiser Prado GX (4X4),2018,USED,4WD, 4 Doors, 5 Seats,White / -,98338,56990
B1306Z6363A,V5520D3290Q,S5083Z6242A,K1777T2854I,2023 Volkswagen Amarok Panamericana TDI600 4Motion,2023,USED,AWD, 4 Doors, 5 Seats,Silver / Black,18,90000
T8948R4090U,O6720X7097A,B4524O9919N,S9721S1501Q,2016 Volvo XC90 D5 2.0 Inscription,2016,USED,AWD, 4 Doors, 7 Seats,White / Black,85547,47990
B6327W2965M,N9705I5461I,C5813Y2231W,G9521D8033Q,2021 BMW X4 M40I,2021,USED,AWD, 5 Doors, 5 Seats,White / Bmw Individual Extended Leather Trim 'Merino' Fion,8254,115990
K9228B5900I,J2093K3247M,K1087V9811L,L8858W6053S,2019 Audi Q8 55 Tfsi Quattro (hybrid),2019,USED,AWD, 4 Doors, 5 Seats,Grey / Black,70847,92788
M3981R4687H,D8448I3655M,Q4487F6405Q,S9560V8912T,2014 Honda Civic Sport,2014,USED,Front, 4 Doors, 5 Seats,Silver / Cloth,118440,17490
A6657E9418Q,Y7665R3782T,R1321P7768H,L4171X9891M,2020 Toyota Hilux SR (4X4),2020,USED,4WD, 4 Doors, 5 Seats,Grey / -,37016,59894
S2121R9147T,F5419V2198M,F9978T6287W,O1707E4487B,2018 Nissan X-Trail ST-L 7 Seat (2WD),2018,USED,Front, 4 Doors, 7 Seats,Grey / -,98322,29990
X5516W2509W,J2473Z2384V,B2978T3893D,K5813L5177G,2017 Mazda CX-3 Maxx (fwd),2017,USED,Front, 4 Doors, 5 Seats,White / -,144200,19990
D3989F8791S,M7044P2470J,W9029M4173K,W9704A2683I,2008 Toyota Crown Athlete G package,2008,USED,Other,,,White / -,107740,19999
Z7061J8807P,W6914Q6666R,O4708L4900L,K2361C7428E,2010 Toyota Estima 2.4 Aeras G Edition,2010,USED,Other,,,Grey / Grey,67000,18956
Y9351J7928Y,L4635R2152H,D7100E8461N,L8834X2319B,2014 Hyundai I30 Active,2014,USED,Front, 5 Doors, 5 Seats,Silver / Grey,68367,19990
F1592T2520C,M5056O8766N,Z6456C5373K,W8713H6901F,2020 Toyota Corolla Ascent Sport (hybrid),2020,USED,Front, 4 Doors, 5 Seats,White / Black,60319,32490
M1361G7888A,J2226P5247S,S7630O8889L,A5409M6174A,2019 Toyota RAV4 Cruiser (2WD),2019,USED,Front, 5 Doors, 5 Seats,Blue / -,36991,45890
A7612W5980Z,Z9118S3233L,U4722I2365O,J9897J9655K,2011 Nissan Dualis ST (4X2),2011,USED,Front, 4 Doors, 5 Seats,Black / -,166000,9995
J1909V9890W,Q8576G4826S,D7791A6260Y,Z8444O6196Z,2017 Subaru XV 2.0I-S,2017,USED,AWD, 4 Doors, 5 Seats,White / -,121315,25490
Y8418O8350D,K4354J7263L,Q4069G3956M,F1794O7566V,2017 Mazda BT-50 XT (4X2),2017,USED,Rear, 2 Doors, 3 Seats,White / -,48872,26980
U5534W7877H,D9336D5392U,Y4721K7036B,J7678K4531L,2020 Ford Ranger Raptor 2.0 (4X4),2020,USED,4WD, 4 Doors, 5 Seats,Grey / Black,41544,70998
A7985T6923G,R1836I4020Y,J6479U2494S,P3823C9608Y,2005 Toyota RAV4 Cruiser (4X4),2005,USED,4WD, 4 Doors, 5 Seats,Silver / -,205605,11990
