location_id,location_name
M1599B9816Q,"Leichhardt, NSW"
Z4267R9316S,"Ryde, NSW"
W4503M3159J,"Haberfield, NSW"
H9176L8065M,"Blacktown, NSW"
B4685W8522E,"Penrith, NSW"
F2466M6965X,"Blacktown, NSW"
X8238T7106W,"Blacktown, NSW"
F9994D6229S,"Ingleburn, NSW"
E5428N2993S,"West Ryde, NSW"
D4233C5983Y,"Bankstown, NSW"
A8762P6716M,"Blacktown, NSW"
B5078L8731T,"Liverpool, NSW"
Z1584C2882O,"Castle Hill, NSW"
P7084K2654H,"Campbelltown, NSW"
S9721X2611T,"Sylvania, NSW"
P7527N8917Q,"Punchbowl, NSW"
Y7630J8532P,"Minchinbury, NSW"
E3353X4468D,"Pendle Hill, NSW"
B3662O7929S,"Minchinbury, NSW"
H2065I1613I,"Sylvania, NSW"
O1934H2491G,"Penrith, NSW"
S5982R1129Z,"Minchinbury, NSW"
D4933N8847T,"Ingleburn, NSW"
B1236U6417E,"Homebush, NSW"
Y3294F6976I,"Blacktown, NSW"
W2442R6081J,"Eastern Creek, NSW"
H8694E6913T,"Sylvania, NSW"
R2986H4158Y,"Castle Hill, NSW"
M9150H8715T,"Campbelltown, NSW"
A9517O3656P,"Haberfield, NSW"
W5954P2949V,"Blacktown, NSW"
B1902D4187O,"Castle Hill, NSW"
R4146H1434J,"Mcgraths Hill, NSW"
A8713D1810E,"Strathfield, NSW"
E1180Y8113I,"Blacktown, NSW"
H2334P8760G,"Wollongong, NSW"
W6968C8047E,"Cabramatta, NSW"
R9515N5586Y,"Minchinbury, NSW"
J2002R6239W,"Banksia, NSW"
B4547X7094G,"Campbelltown, NSW"
O9595C3978K,"Wollongong, NSW"
V5806X1347W,"Campbelltown, NSW"
H5026O8807D,"Ingleburn, NSW"
V4320V3254C,"Five Dock, NSW"
U1055K6299M,"Campbelltown, NSW"
F3884K7721H,"Croydon, NSW"
Z9764W6764B,"Smithfield, NSW"
M8964E2783W,"Wollongong, NSW"
Y9766D9115I,"Minchinbury, NSW"
G5517C8230V,"Castle Hill, NSW"
X1784O8429Q,"Granville, NSW"
N8889G8526P,"Castle Hill, NSW"
P4972T1207R,"Homebush, NSW"
H9101O6893W,"Wollongong, NSW"
L9177S9787P,"Cabramatta, NSW"
P3157H6190O,"Smithfield, NSW"
T5080K1271Z,"Blacktown, NSW"
S3673B8917V,"Camden, NSW"
V4749K2560G,"Castle Hill, NSW"
H1138H4319H,"Wollongong, NSW"
D7656E7106F,"Minchinbury, NSW"
G6826H5145G,"Blacktown, NSW"
G8039Q4820H,"Leichhardt, NSW"
X7121L3059A,"Castle Hill, NSW"
X2748G4527X,"Penrith, NSW"
R7637V7752K,"Campbelltown, NSW"
S1990T2105F,"Adamstown, NSW"
M4079D1844T,"Blacktown, NSW"
G2314D7245P,"Five Dock, NSW"
Y6083X2024K,"Lidcombe, NSW"
G1340O5272F,"Blacktown, NSW"
G7907O7000R,"Cardiff, NSW"
Y1836X5144W,"Castle Hill, NSW"
I4172R2752T,"Carlton, NSW"
K9311A1399C,"Granville, NSW"
N4212U7213Q,"Kirrawee, NSW"
I7595H8878B,"Blacktown, NSW"
O5977G6321I,"Minchinbury, NSW"
N8236N5380U,"Blacktown, NSW"
H8799K7372Y,"Cardiff, NSW"
G1608R8446C,"Pennant Hills, NSW"
X2961Y9467C,"Minchinbury, NSW"
U2552U4007H,"Lidcombe, NSW"
V2736N1743J,"Blacktown, NSW"
P1545A1171B,"East Maitland, NSW"
Q7582S9946Z,"Liverpool, NSW"
W2954O8787F,"Leichhardt, NSW"
Y7942U6069O,"Minto, NSW"
O8001M8976A,"Lidcombe, NSW"
K6895Y4732S,"Cardiff, NSW"
W4504W4183R,"Granville, NSW"
V3131X9454Y,"Granville, NSW"
Q1256A7730R,"Rozelle, NSW"
A6130K8859V,"Minchinbury, NSW"
I6555I3319O,"Cardiff, NSW"
T1107H2438L,"Liverpool, NSW"
J2626E6978I,"Arncliffe, NSW"
U6039Y8426J,"Petersham, NSW"
L9659K2878M,"Lansvale, NSW"
A4185W5841Y,"Five Dock, NSW"
F9793L8740D,"Kirrawee, NSW"
X4375S5715H,"Adamstown, NSW"
Q4512X4269K,"Rouse Hill, NSW"
Z7395M6785N,"Liverpool, NSW"
H3276A9331I,"Minto, NSW"
T6136X6613F,"Jamisontown, NSW"
V5920D5310Q,"Minto, NSW"
Q8305X5130Y,"Gateshead, NSW"
Z2052W3185Z,"Minchinbury, NSW"
L5334A6349W,"Rouse Hill, NSW"
O1954I2011X,"Blacktown, NSW"
X9642I7460H,"Brookvale, NSW"
I1532E4576C,"Rozelle, NSW"
