engine_id,cylinders,engine_size,fuel_type,fuel_consumption,transmission_type
X8503R4267N,4 cyl,"4 cyl, 2 L",Unleaded,6 L / 100 km,Automatic
P3833C1871S,4 cyl,"4 cyl, 2 L",Premium,6.7 L / 100 km,Manual
C2261W3905P,4 cyl,"4 cyl, 2 L",Unleaded,6.9 L / 100 km,Automatic
X4040Z8996H,6 cyl,"6 cyl, 3 L",Unleaded,8.9 L / 100 km,Automatic
R1125R9527A,3 cyl,"3 cyl, 1 L",Premium,5 L / 100 km,Automatic
S5604H3329R,6 cyl,"6 cyl, 3.6 L",Premium,10.1 L / 100 km,Automatic
O6425R4530N,4 cyl,"4 cyl, 2 L",Unleaded,7.6 L / 100 km,Automatic
P5891P2086U,3 cyl,"3 cyl, 1 L",Unleaded,5.1 L / 100 km,Automatic
M5815I8947F,4 cyl,"4 cyl, 2 L",Diesel,5.4 L / 100 km,Automatic
W7574O5473C,-,-,Diesel,-,Automatic
A6966A1670M,4 cyl,"4 cyl, 2.5 L",Hybrid,5.6 L / 100 km,Automatic
W9708K4189L,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
M5101E4596A,6 cyl,"6 cyl, 3 L",Diesel,5.9 L / 100 km,Automatic
A6703N3622R,4 cyl,"4 cyl, 2.8 L",Diesel,7.9 L / 100 km,Automatic
C5289F4365W,6 cyl,"6 cyl, 2.7 L",Diesel,8.2 L / 100 km,Automatic
M7123S7698S,4 cyl,"4 cyl, 1.8 L",Unleaded,6.1 L / 100 km,Automatic
E9821H3086V,-,-,-,-,Automatic
U1338L2506W,4 cyl,"4 cyl, 1.4 L",Unleaded,6.9 L / 100 km,Automatic
E3782P2851V,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
Z7024N6680L,5 cyl,"5 cyl, 3.2 L",Diesel,8.4 L / 100 km,Manual
W6300I3958R,6 cyl,"6 cyl, 3.5 L",Hybrid,6.3 L / 100 km,Automatic
Z6044Y8781Q,-,-,Diesel,-,Manual
P7174W3531V,6 cyl,"6 cyl, 3.5 L",Unleaded,9.1 L / 100 km,Automatic
M4098U9082B,-,-,Premium,-,Automatic
H5273J2900U,4 cyl,"4 cyl, 1.4 L",Unleaded,5.4 L / 100 km,Automatic
D9563I8335W,6 cyl,"6 cyl, 3.5 L",Premium,10.3 L / 100 km,Automatic
A4468E5149H,6 cyl,"6 cyl, 3 L",Diesel,7.4 L / 100 km,Automatic
B2454P2005J,4 cyl,"4 cyl, 3 L",Diesel,9.2 L / 100 km,Automatic
A5227G1869M,4 cyl,"4 cyl, 2.5 L",Unleaded,7.9 L / 100 km,Automatic
U7211Z6037S,4 cyl,"4 cyl, 2 L",Premium,7.3 L / 100 km,Automatic
V3901R8991M,-,-,Premium,-,Automatic
R6650L8254Z,4 cyl,"4 cyl, 2 L",Unleaded,7.6 L / 100 km,Automatic
A8136S3575O,4 cyl,"4 cyl, 2.2 L",Diesel,7.3 L / 100 km,Automatic
X8688M5592T,4 cyl,"4 cyl, 2.2 L",Diesel,5.7 L / 100 km,Automatic
N7959H7187R,4 cyl,"4 cyl, 2 L",Diesel,6.3 L / 100 km,Automatic
B9965J8889F,4 cyl,"4 cyl, 1.2 L",Premium,4.9 L / 100 km,Automatic
M3263X3249T,4 cyl,"4 cyl, 2 L",Premium,7.3 L / 100 km,Automatic
